Review;Rating
Malheureusement plusieurs problèmes liés notre séjour À l arrivée pas de papier toilette dans la chambre On nous informe que le mini bar et le café est gratuit dans la chambre mais il n y a rien ! Odeur d égouts dans la salle de bain très désagréable pour remédier au problème on nous amène un diffuseur de parfum !!!! Ce qui n a pas réglé réellement le problème puisque le lendemain celui ci a été enlevé !! Pas de réassort sur le café et l eau alors que nous sommes restés 3 nuits !! Le personnel d entretien très réactif mais trop d erreurs pour un hôtel 4 étoiles;3.0
Nous avons passé 3 nuits, la chambre est correct avec une superbe vue sur la Tour Eiffel. Cependant la propreté est à revoir surtout la salle de bain. Des cheveux étaient present dans la baignoire, pas de produit de lavage et des serviettes renouvellées aléatoirement. Malgré ma remarque auprès de la réception, pas de changement notable. Dommage. Pas digne d’un 4 étoiles.;3.0
Hôtel très bien situé et personnel disponible ! On a été surclassé donc très contents de la chambre avec un mobilier très atypique 😉 grande au détriment de la salle de bain ( après on est à Paris …) et avec une bonne literie. Seul point négatif : le ménage. Nous sommes un peu déçus sans être maniaques les cheveux un peu partout dans la chambre, sur le carrelage (sol et mur) de la salle de bain ainsi que sur les serviettes …bof 😞 ce qui explique que nous n’avons pas mis 5. Nb: pour le petit déjeuner seulement du jus d’orange ou de pommes … hormis ça excellent et copieux !;4.0
Bel hôtel, très bien situé entre le super jardin du Luxembourg, la Sorbonne et le Panthéon, bon accueil à la réception , et au petit-déjeuner copieux . Très belle chambre, bonne literie, avec mini bar avec qqls boissons offertes. Très bons restaurants place de la Sorbonne. Très belle sortie à refaire.;5.0
Une équipe superbe. Une attention touchante pour l'anniversaire de ma femme avec cette magnifique chambre. Dommage le problème d'eau chaude en panne autrement nous aurions mis 10/10 sans hésitation ! Merci A bientôt;5.0
Les chambres sont un peu petites et le lit des chambres avec vue ne convient pas pour les personnes de plus de 186 cm … Le petit déjeuner est très bon et complet et le jus d orange pressé est un must have Et la vue est magnifique de la haut;4.0
Qualité de l accueil et du service .des petites attentions pour les clients bien appréciables. Localisation intéressante pour rayonner dans Paris avec accès facile aux transports nombreux bus Métro et RER.Établissement bien géré . nous reviendrons;5.0
Hôtel rempli de charme, qui a dit l'ancien avec le moderne. Le personnel est au petit soin pour nous. Nous avions la chance d'avoir une vue exceptionnelle surtout Paris et surtout de la tour Eiffel. Merci à l'hôtel Trianon Rive Gauche et à toutes ses équipes.;5.0
"Séjour correct, l'accueil est impeccable, le personnel est compétent à la réception et à notre services pour toutes questions, cependant le ménage laisse encore à désirer , par exemple la table dans la chambre n'est jamais nettoyée, Il manque aussi de la place pour le taxi qui nous amène et nous reprend et la chambre ""Deluxe"" ne dispose que d'une salle de bains trop exigüe.";4.0
La chambre ne correspond pas du tout aux photos sur le site. Apparemment certaines chambres ont été refaites mais pas la nôtre. Mobilier vieillot, porte non insonorisée, salle de bains affreuse (joints faïences jaunes, mécanisme toilettes???) on nous a proposé un surclassement pour notre prochaine venue, nous voulons juste payer le juste prix au bon moment, là c'est carrément une arnaque.;2.0
Excellente adresse, très bien située dans Paris, personnel attentif et serviable, qui a pris en compte mes demandes et remarques. Une remarque à faire ? Pourquoi demander des avis de 200 caractères minimum, certains clients ont le sens de la synthèse ,-) !;4.0
Rapport prix / qualité très bon. De l'arrivée au départ tout était parfait. Les petites attentions dans la chambre, très appréciées, ainsi que tous les accessoires brosse, chausse-pied, parapluie etc.;5.0
très bon accueil. Chambre très fonctionnelle. Literie , propreté , rien à redire. Hôtel calme, pas de bruit ce qui permet un bon repos. Un personnel aimable ,au service des résidents. Pour conclure un hôtel à conseiller;5.0
"Hôtel ""étriqué"", salle de bain minuscule, baignoire bouchée, plafond qui menace de tomber, canalisation d'eau qui permet de chauffer bien fort la chambre sans avoir besoin du radiateur, situation géographique moyenne, partie commune dignes d'un hotel 2 étoiles, salle pour le petit déjeuner petite et mal agencée, petit déjeuner moyen, seul point favorable : bonne literie. Acceuil des client normal.";2.0
La chambre est très bien. Le lit de 180 cm parfait. La propreté très bien. Petit bémol : la baignoire qui est trop petite pour prendre un bain sauf si on est un enfant. Nous aurions préféré une douche, plus facile à entrer dedans. La pression au pommeau de douche qui était très faible. Dommage, nous aurions aimé avoir un vrai bar d'hôtel qui nous aurait donné envie de nous y arrêter en rentrant le soir. L'hôtel a beaucoup de charme et depuis notre balcon nous avions vue sur la Tour Eiffel. Le quartier est très bien aussi avec ses restaurants et toutes ces belles choses à voir.;4.0
Hôtel grand confort au cœur du quartier latin à proximité du jardin du Luxembourg. Pas besoin d prendre le métro pour se divertir. Le service est impeccable et le petit déjeuner servi jusqu’à 11heures pour les grasses matinées.;4.0
Tres sale et très bruyant la salle de bain était bouchée et remplie de cheveux il y’avait aussi du vis à vis le miroir était taché  De l’extérieur c’est très joli mais l’intérieur ne vaut pas le prix.  Personnel complètement perdu;1.0
Petit déjeuner excellent, service parfait, le personnel est très préoccupé de notre confort et très disponible.La literie est impeccable et confortable. L'ascenseur est un peu trop étroit, nous regrettons l'absence d'anti dérapant dans la baignoire.;4.0
hotel bien placé et tres jolie personels sympa et nous avions demandé une chambre avec baignoire et l avons eu.petit dej tres bon par contre impossible d ouvrir la fenêtre notre chambre la 109 donne directement sur les moteurs des clim donc tres bruyant et vu sur ???un genre d algeco a 1m de la fenêtre dommage évitez la chambre 109 heureusement s n était que pour une nuit autrement j pense que l on aurais demandé a changer;3.0
La chambre sentait très fort la peinture, l'hôtel était assez bruyant (chambre mal insonorisées),... Le service du déjeuner ne convenait pas pour un hôtel de 4étoiles (tables trop proches des unes des autres, tables trop lentement débarrassées,...);3.0
"J'ai déjà fait plusieurs établissements 4 étoiles. Celui-ci est dans la moyenne. En plus, d'avoir une chambre au premier. J'entendais tous les bruits dans les autres chambres ainsi que les femmes de ménage qui nettoyaient dès le matin. La chambre était très exégüe et peu lumineuse, le lit super petit et le matelas était très mou. On était super serré dans le lit malgré notre petite corpulence et de plus, comme tout matelas mou, au fur et à mesure des années, ça s'affaisse eu milieu. Dans l'espace thé et café, il y avait déjà des sachets ouverts à notre arrivée. Le petit-dejeuner est à éviter. Les produits sont surgelés et très peu qualitatifs (viennoiseries et baguettes surgelées, yaourts directement en pot (la moindre des choses, c'est de la présenter d'une meilleure manière dans un bol, non ?, les ""fruits frais"", c'était juste deux pommes, le jus frais était de l'industriel. Il vaut mieux ne pas prendre le petit déjeuner et manger dans un café du coin). Même pas une bouteille d'eau ou quoi dans la chambre, même le 3 étoiles que j'ai fait précédemment en proposer gratuitement. Il était beaucoup mieux que cet hôtel au niveau confort et insonorisation. Les points positifs sont quand même le personnel à la réception qui explique bien les choses et le lieu est proche des commerces et de la station de métro Odéon.";3.0
Accueil et personnel très agréables, professionnels et à l'écoute des clients Excellent service  Dommage que la vue de la chambre (sur patio borgne avec installation) ne soit pas précisée à la réservation.;4.0
Hôtel très bien situé une bonne partie peut se faire à pied, propreté des chambres et petit déjeuner excellent et complet Quartier très calme et de nombreux restaurants à 5 min de l’hôtel Rien à redire , je recommande;4.0
Le personnel de l’hôtel n’est absolument pas agréable. Très peu sont ceux qui ont su nous dire bonjour (sourire aussi devait compliqué pour eux). La chambre était propre mais très ancienne (la sdb, particulièrement petite, illustre la vétusté de l’hôtel par ses trous aux murs ou encore ses taches de moisissures). C’est dommage car l’hôtel a un gros potentiel (la vue et les petits balcons très agréables, la situation ou encore et surtout la literie qui est très bonne).;3.0
Très bel hôtel bien situé et très calme Personnel accueillant et à l’écoute Beau buffet du petit déjeuner Chambre très propre et confortable Donne des conseils de visite d’exposition A recommander sans problème pour un prochain séjour à Paris;5.0
Un très joli hôtel dans un beau quartier (magasins, restaurants, galeries). Les chambres sont bien décorées et bien climatisées. Le petit déjeuner est délicieux et très varié. J'ai beaucoup apprécié mon séjour au Trianon Rive Gauche.;5.0
Un hôtel qui tourne et qui peut pratiquer ces prix uniquement grâce à sa situation parisienne. La douche avait des joints moisis, le sèche cheveux était rafistolé depuis bien longtemps avec un vieux adhésif qui ne tenait plus rien. La climatisation faisait un bruit d'enfer pour souffler de l'air tiède, pas de bouteille d'eau à l'arrivée dans notre chambre... dois-je continuer ? Nous ne sommes pas des voyageurs intransigeants et ce sont des conditions que nous aurions volontiers acceptées dans un établissement plus modeste mais tout à fait intolérables à ce niveau de prix. Un bel exemple de surfacturation de l'emplacement !;2.0
Gros point négatif sur l'état de la salle de bains. Chambre correct mais ne vaut pas un 4 étoiles. Séjour acheté par ventes privées. Je n'aurai jamais mis le prix tarif annoncé sur place qui est bien excessif par rapport à l'installation et aux services.;4.0
C'est un hôtel correct mais les chambres sont petites, vieillotes Les salles de bain sont minuscules Le petit déjeuner est complet et varié mais la salle est extrêmement petite La literie est bonne et confortable;3.0
Hôtel calme très bien situé au pied des parkings de la sorbonne et du jardin du Luxembourg. Très belle vue sur la tour eiffel. Le personnel dédié au petit déjeuner est très agréable et souriant. Bonne balade dans la capitale.;4.0
Hôtel magnifiquement situé au cœur du quartier latin, près du site prestigieux de La Sorbonne, dans la section la moins circulée de la rue de Vaugirard. Belle décoration intérieure, personnel accueillant ,dévoué et efficace , petit déjeuner appétissant et bien garni, bref, tout ce qu’il faut pour garder un très bon souvenir de son séjour à Paris. Je ne peux que recommander ce bel établissement.;5.0
Très bon emplacement. Notre chambre avec balcon était très petite et la salle de bain minuscule. Le petit-déjeuner est correct, sans plus. On ne peut rentrer à deux dans l’ascenseur avec un petit bagage chacun ( chambre au 6ème étage );3.0
Le sèche serviette ne fonctionne pas On me donne un chauffage d’appoint pour une chambre qui a coût non négligeable Pas de télécommande de tv Une plaque au plafond tombe en pleine nuit A aucun moment on me demande comment se passe mon sejour;2.0
Hôtel très bien situé. Décoration vieillotte.Accueil moyen. Chambre et salle de bain trop petites.Lit en 140...Je sais que c'est Paris..mais quand même..Décevant pour un 4 étoiles ! Petit déjeuner correct. Bref un peu déçus!;3.0
Au prix de la nuit, retrouver des draps sales, une salle de bain plein de moisissures avec des poils dans les éviers et des cheveux sur les oreillers. L’accueil n’est pas du tout professionnel au prix de la chambre c’est à fuir !;1.0
Les oreilleurs trop gros, la chambre et le bain Tres petits. Tres bien le petit dejeuneur. Une semaine difficile pour les poubelles dans la rue de l' hotel comme en tout Paris. On a attendu beaucoup pour le check in, mais apres le bureau d'accueil nous a bien servi;3.0
Nous avons réservé par le site Very Chic. Ce n est pas parce qu'il s agit d un prix de dernière minute qu on doit avoir une chambre aussi decevabte, sans clarté et avec vus sur les tuyaux d une minuscule cour intérieure. Salle de bains petite et non conforme au standing de l hôtel...;2.0
La chambre était trés trés petite et il y avait un douche avec un rideau (assez primitif, je ne savais pas que cela excistait encore) Aussi armoire avec un rideau Prix / qualité certainement pas en équilibre;2.0
"Merci pour le séjour merveilleux dans votre hôtel, dans la meilleure ville du monde - Paris ( après ma ville natale - Moscou)! Excellent emplacement dans une rue calme près du centre villle, tout est à distance de marche, ainsi que d'excellents restaurants tels que ""Choupinette"". Il y avait un personnel amical, des chambres propres avec tout le confort. On a passé un moment inoubliable! Maintenant, nous ne nous arrêtons que chez vous!";5.0
Cet hôtel est idéalement situé, près du Quartier Latin et du Luxembourg. Chambre calme, quoi qu'un peu spartiate (notamment l'espace bureau) et assez sombre. Le petit déjeuner est très bien, et j'ai apprécié l'accueil. une bonne adresse !;4.0
Je recommande très bon accueil propreté et situation idéale. Hotel proposant un très bon service, les femmes de chambres très agréables ainsi que les réceptionnistes. Dans un quartier très animé avec de nombreux restaurants;5.0
Hôtel idéalement situé à proximité des sites à visiter, des restaurants, des stations de métro, dans un quartier très agréable. Chambre très calme et très propre, le personnel est très serviable. Je recommande.;5.0
Hôtel certes un peu vieillissant (en tout cas notre chambre) et qui demande quelques attentions (voile/tenture décrochés, peinture ......) mais la gentillesse du personnel prend le dessus. Petit déjeuner bien garni et agréable. Emplacement pratique pour découvrir les quartiers environnants et parkings payants à proximité. Je me demande si les clients qui réservent via un site différent de celui de l'hôtel ne sont pas moins bien logés. Je tenterai en direct la prochaine fois.;4.0
une ambiance feutrée bien agréable loin du tumulte des grévistes un confort de couchage appréciable et le charme des établissements anciens juste une insonorisation un peu légère pour un sommeil léger à renouveler;4.0
Hôtel très bien placé dans quartier calme. Mais chambre mal insonorisée, installation vieillissante et salle de bain exiguë. Hall et salon où il faisait froid pour boire un verre. Petit déjeuner correct;3.0
Bonjour  j aurai pu donner une note de très bien mais nous avions la chambre 308 ou il n y a aucun chauffage dans la salle de bain ! ce qui rendait l ensemble de la chambre glacial on a du demander un chauffage d appoint pour notre deuxième nuit !! Dommage !!;3.0
bonne situation géographique, literie hyper confortable, meublé avec gout, chambres sont petites mais c'est le cas dans tous les hôtels parisiens le buffet petit déjeuner avait l'air super même si je ne l'ai pas pris  nous avons passé un super séjour;5.0
Accueil bien sympathique et efficace Literie très confortable A ameliorer: poussières dans les chambres et parties communes.- portage de valises pour passer les 5 marches donnant accès au 2nd ascenseur. Isolation phonique des chambres un peu faible. Petit déjeuner varié.;3.0
En point fort: l'emplacement, l'équipement, la vue (pour les chambres qui en ont), le petit déjeuner, la décoration. En point d'amélioration: la salle de petit déjeuner très exigüe en cas d'affluence, les process de check in et out qui sont très longs et non coordonnées avec le site de l'hôtel.;5.0
Ascenseur exigu. Tapis plein pas net. Insonorisation de la chambre nulle. Pas de bouteille d’eau. Carte ouverture de la chambre démagnétisée à 9:30 le jour de départ. La réceptionniste était d’humeur exécrable.;1.0
Emplacement idéal pour cette hôtel proche de Notre Dame et du Quartier Latin , un accueil irréprochable et une chambre agréable partagé à trois durant ce séjour en famille. Pépinière de restaurants et librairies dans ce quartier étudiants et charmant.;5.0
Bonjour, Bruits de pas nettement audibles la nuit, notamment au plafond ,ce qui est inhabituel , et surtout bruit de tonalité grave d'une ventilation cachée dans une cloison avec modulations durant la nuit et ne correspondant pas à la chambre 404, en progression nette la seconde nuit . Agréable odeur de croissants chauds le matin vers 8 H dans la chambre mais venant d'où car pas d'odeur dans le couloir ? Nous ne reviendrons certainement pas.;3.0
accueil médiocre avions demandé un renseignent pour connexion wifi, le jour de notre arrivée, la personne de l’accueil, n'a pas été aimable et nous le lui avons dit.  déjeuner très moyen, pour le tarif;2.0
Hotel bien situé. Chambre agréable. Personnel efficace. Salle de bain minuscule: toilettes, douche/baignoire et lavabo dans un espace riquiqui. Les toilettes de l'hotel au rdc sont en fait une chambre... pas très pratique...;3.0
Magnifique situation au coeur de Paris , près de Notre Dame,du Jardin du Luxembourg,du Panthéon,des commerces et restaurants. Dans ce très bel établissement,vous passerez une nuit au calme,dans une chambre qui offre toutes les commodités. Le personnel est agréable et présent.3e séjour dans cet endroit mais pas le dernier !;5.0
Bel hôtel, très bien situé pas loin d'un arrêt de métro. Bien assez de restaurants autour. Quartier calme et chambre bien insonorisée. La chambre était spacieuse et propre, personnel accueillant et prévenant;4.0
Première surprise, la chambre se trouve dans une annexe accessible via une petite porte après la lounge... un escalier à monter avec la grosse valise pour accéder à un ascenseur miniature qui peut à peine accueillir 2 personnes et la valise. Deuxième surprise, l'ascenseur ne va qu'au 6eme étage, il faut monter les valises au 7eme via un petit escalier en colimaçon décoré avec planche à repasser, kit de ménage, papier wc, echelle, etc, aucune aide du personnel de l’hotel... On arrive finalement dans une chambre de bonne mansardée, c'est sale, de la poussière partout, vieille moquette tachée recouverte de poils/cheveux, joints moisis dans la salle de bain, vitre sales, vieux mobilier bon pour la poubelle, tasses sales avec traces de vieux café, réfrigérateur sale, aucun rangement dans la salle de bain, pommeau de douche noir de moisi au niveau des jets, insonorisation inexistante... OU SONT LES 4 ETOILES mis à part les tarifs des chambres ??? Seul point positif, la vue sur la Tour Eiffel au détriment du reste !;1.0
Magnifique Hôtel à Paris très bien situé: Notre-Dame, Musée de Cluny, Panthéon, Musée d'Orsay, Sainte-Chapelle, etc. Très bon service, petit déjeuner excellent avec plusieurs choix. Personnel aimable. Les lits sont faits tous les jours et les serviettes utilisées sont remplacées presque tous les jours. Super Hôtel !;5.0
Nous avons passé un bon séjour à l'hôtel, le personnel est serviable mais nous avons eu des problèmes avec le paiement et surtout l'avance bloquée sur notre carte de crédit. Une semaine après le montant est toujours bloqué sur la carte malgré de multiples demandes sur place et plusieurs appel téléphoniques de suivi!!! C'est inadmissible! Ces problèmes toujours non réglés nous disuaderaient de réserver à nouveau dans cet établissement.;3.0
Hôtel confortable et calme, situé dans une rue très peu passante du 6e arrondissement de Paris, dimensions de la chambre très correcte, propreté, literie excellente, personnel charmant et aimable, petit-déjeuner au top.;4.0
l'hotel est très bien situé, le personnel est agréable, la chambre un peu petite ( pas grave on s'adapte) avec un lit super confortable, salle de bain trop trop petite ( on met presque les pieds dans le toilette en sortant de la douche!) et ne fait hyper propre et le gros gros gros point négatif aucune insonorisation entre les chambres! c'etait vraiment un problème, je ne le conseillerai pas à cause de ça. dommage! et il manque un bar .;3.0
Très joli hôtel à la décoration chaleureuse, très confortable, très bon accueil. Petit déjeuner copieux à la hauteur de l'établissement. Le plus: les peignoirs et les chaussons. Je recommenderai cet hôtel.;5.0
C’est ma deuxième visite. Le personnel est toujours aussi gentil et aimable. Très réactif aux demandes. L’hôtel était complet en ce week-end du 15 août, donc c’est une belle performance de tâcher de contenter tout le monde. Literie parfaite.Coffee maker et bouilloire en chambre avec choix de thés et de cafés ce point est pour moi important. Le mini bar est un peu pauvre mais visiblement c’est ainsi partout en France depuis le Covid. Le cadre est romantique à souhait. Très bien situé nous avons fait nos visites à pieds. Le bémol reste la salle de bain très petite, mais je m’y attendais. J’ai été un peu déçue par le petit-déjeuner qui m’avais semblé excellent lors de ma première visite. La machine à café est lente. Avant, le personnel servait le café à table. Il y avait un peu de confusion en ce mois d’août. En revanche les produits sont frais, c’est rare à Paris de trouver une telle qualité pour un hôtel de ce type. Donc, j’y retournerai.;4.0
Hôtel bien situé, propre avec un bon accueil et une bonne réactivité. Le côté développement durable est apprécié, notamment les produits biologiques. Il manque cependant du choix dans les thés. Le seul bémol du séjour concerne la salle de bain avec l évier bouché plusieurs fois.;4.0
Service médiocre, ils ont tenu à me facturer la première nuitée même après avoir leur annoncé que je suis covid positif donc je ne peux pas voyager et du coup honorer ma réservation. Aucun sens d'empathie, jamais vu pareil. Je ne recommande pas!  Chaimaa Haib.;1.0
RER a 5 mn ainsi que jardin Luxembourg et Monoprix Beau quartier bien fréquenté Chambre balcon vu Tour Eiffel Mini bar vide mais frais dans les chambres Personnel à l’écoute Petit dej possible sur place copieux Chambre cote rue au calme Juste un peu de bruit intérieur car bâtiment vieux;4.0
Très bon séjour, le personnel a été très arrangeant malgré une erreur de ma part dans les dates de réservation. Chambre un peu exigüe pour deux personnes mais largement compensé par le petit balcon et la vue sur le Panthéon. Merci chaleureusement pour votre accueil;5.0
Hôtel à la décoration pour le moins kitsch (mais c'est subjectif) et surtout aux chambres (la mienne en tout cas) dotées de salles de bain tout droit sorties des années 80. Les chambres sur rue sont bruyantes sauf entre minuit et six heures. Le petit déjeuner, s'il paraît copieux, propose enfin des produits d'assez piètre qualité. Pour couronner le tout, les végétariens auront le déplaisir de constater que le bacon y est gardé au chaud sous la même cloche que les oeufs. Prix affichés à la réception, plus de 400 euros (ce que personne ne paie vraiment j'espère). Bref, l'hôtel n'est pas horrible, mais je ne vois pas de raison de chercher activement à y séjourner. 2,5/5.;3.0
Belle situation. Personnel aimable et pro. Chambres vieillottes. Salle de bain et sanitaire ne valant pas un 4 étoiles. Petit-déjeuner : jus d’orange pressé top, le reste bof bof, pour 18 euros par personne.;3.0
Hotel près des principaux attraits, tranquille, personnel agréable dont la caractéristique est de satisfaire le client. Le petit dejeuner est servi et est diversifié. Recommandation: L'après covid-19 force les établissements à revoir la manière de présenter la nourriture style buffet. Je recommande de faire attention car parfois certains clients éternuent près des plats et ce n'est pas toujours hygiénique. Sachez que cela ne relève pas de l'hotel mais des clients. Il faudrait réfléchir à rendre le tout plus contrôlé afin d'éviter les possibles propagations.;4.0
Déco vieillotte, tapis partout et tissus sur les murs de la chambre (tâché!!), donc attention aux allergies acariens!;2.0
Cet hôtel n’est pas un 4 étoiles, accueil épouvantable, décoration désuète, salle de bain petite et froide, rien n’est sujet au plaisir dans cet endroit. Je recommande hélas de l’éviter sans délais . Première fois que j’ai à dire cela.;2.0
un hôtel de grande qualité. personnel extrêmement aimable et efficace. Chambres confortables, calmes, bien équipées (peignoir, chaussons, produits de toilette Nuxe, bouilloire, bouteille d'eau, climatisation). Petit déjeuner avec des produits frais et de qualité. Une excellente adresse. La vue sur le Panthéon était de surcroit magnifique.;5.0
Bon emplacement de l'hôtel dans le quartier latin . Chambre de luxe : Bien, propre et calme bien que sur la rue au 1er étage.. mais vieille tv . Couloir et escaliers à restaurer . Personnels très aimable .;4.0
L’hôtel est bien placé dans Paris , c est à peu près le seul point positif. Les photos sont trompeuses, les chambres sont bien moins jolies que sur les photos. Nous accédons à la chambre par un ascenseur minuscule, nous y tenons à deux écrasés l un contre l autre , pour monter les valises, il faut faire deux voyages . La chambre est à l image de l ascenseur, toute petite , un lit en 140 , normal il n y a pas la place pour en mettre un plus grand. Une penderie minuscule avec une seule étagère occupée par un coffre fort. Impossible de ranger des vêtements. Même chose pour la salle de bain , pas de place pour nos affaires de toilette. Les toilettes sont dans la salle de bain, la chasse d eau fuit , nous l avons signalé dès notre arrivée , elle fuyait toujours une semaine plus tard. Le ménage n est pas fait soigneusement, nous sommes obligés d aller demander à l à réception le papier toilette et le gel douche manquant. Je ne sais pas comment sont attribuées les étoiles, mais le trianon n en mérite vraiment pas 4. Pour 200 euros la nuit, on s attendait à autre chose. A notre prochain passage à Paris, nous irons ailleurs.;2.0
Établissement sympathique tarif des chambres pas à la hauteur de la prestation pas mal de petits détails qui font que je pense pas que 200 € pour une chambre de cette sorte soit raisonnable salle de bain à l’ancienne radiateur apparent tuyau apparent chasse qui coule petit bar dans la chambre posé par terre avec une canette de coca et une canette de Fanta médiocre chaîne de télévision une sur deux en français et pas dans l’ordre réveiller à 7h du matin par des nids de pigeons sur le toit etc Bon nombre de hôtels dans Paris avec des tarifs beaucoup moins cher et beaucoup mieux;3.0
Très bon hotel, calme, bonnes prestations, bonne situation. bon petit déjeuner, buffet copieux et de qualité. Literie confortable, salle de bain sympa, avec beaucoup d'eau chaude. très bonne situation géographique.;5.0
Pratique pour les déplacements en bus, emplacement central dans Paris, rue tranquille et cependant nombreux petits resto pour les retours tardifs. Minibar très réduit. Etablissement calme, chambres élégantes mais peu spacieuses. Personnel très courtois.;4.0
J'avais réservé une chambre DOUBLE-DELUXE pour 2 nuits. La surface de la chambre est amputée par un long couloir inutile (ça ne correspond pas à la photo du site de l'hôtel) et du coup la chambre reste petite. Le site de l'hôtel annonce pour les chambres Deluxe un coin salon : je n'ai trouvé que 2 chaises, un mini-bar : il n'y a qu'un jus d'orange et un coca. Quant à l'équipement luxueux, c'est confortable mais luxueux est abusé. Salle de bain MICROSCOPIQUE : dans 1,5m2 il y a une douche, lavabo et WC, même pas la possibilité de poser ses affaires et de s'habiller dedans tellement c'est petit. Très déçue, je n'y retournerai pas.;3.0
10 nuits au Trianon. Hôtel très correct. Personnel avenant et serviable. Très bien situé. J'ai vraiment apprécié mon séjour. Petit bémol : salle de bain exiguë et très froide. Hier, très tard, du boucan dans le couloir, des clients un peu trop bruyants ... Merci à Charles, Hugo, Céline et Hassan ce matin. Je reviendrai. Sam;4.0
une salle de bain médiocre pas du tout pratique remplie fuites sans parler des mesures sanitaire non respectée autour du buffet du petit déjeuner Les photos de la chambre sont plus belle que la réalité;3.0
Chambre petite mais suffisante pour 1 personne, très bien décorée. Salle de bains parfaite.Service très accueillant et disponible. Literie excellente. Emplacement top. Le salon d'accueil est ravissant. je recommande cet hôtel.;5.0
L'ascenseur exigu d'accès aux combles et la vue sur les toits sont originaux et appréciés. La chambre est confortable et bien équipée. La salle de vains spacieuse. Si le petit déjeuner était inclus ce serait top et si un parking était oriche cela serait l'idéal pour un séjour en semaine. Heureusement notre séjour était le week-end ce#qui a permis un stationnement pas trop éloigné.;4.0
La gentillesse du personnel et la localisation idéale de l'hôtel compensent largement des équipements en chambre à rafraichir ! Le petit déjeuner n'a qu'un défaut, celui de ne pas servir de vrais baguettes.;4.0
Chambre relativement petite Très bon buffet petit-déjeuner Réception pas très coordonnée entre eux. On m’a demandé 3 fois de payer alors que le paiement avait été fait avant l’arrivée A chaque fois, recherche pendant de longues minutes pour trouver que le paiement était ok Sinon, bon établissement bien situé;3.0
